Train Loss	Train Loss X	Train Loss U	Mask	Total Acc.	Used Acc.	Test Loss	Test Acc.	Test GM.	
0.154679	0.006162	0.148518	0.882594	0.932594	0.972206	2.246483	66.720000	0.592854	
0.155950	0.004849	0.151101	0.882375	0.932813	0.971597	2.226204	66.770000	0.593328	
0.159855	0.006296	0.153559	0.883531	0.933094	0.971351	2.197521	66.900000	0.596603	
0.149319	0.004529	0.144790	0.887188	0.933219	0.971645	2.246096	66.540000	0.588691	
0.156604	0.005495	0.151109	0.883875	0.935719	0.972776	2.250042	66.440000	0.586808	
0.157120	0.005797	0.151323	0.879875	0.934094	0.972581	2.227889	66.970000	0.597459	
0.153042	0.004315	0.148727	0.889344	0.935750	0.973225	2.244204	66.850000	0.598115	
0.156891	0.005582	0.151309	0.887031	0.933156	0.971112	2.307150	66.260000	0.588995	
0.153802	0.004797	0.149005	0.887906	0.935719	0.972020	2.285055	66.460000	0.590552	
0.152974	0.004088	0.148886	0.886781	0.935531	0.970927	2.327202	66.110000	0.587154	
0.150988	0.005332	0.145656	0.889563	0.935531	0.972212	2.310860	66.320000	0.589769	
0.150935	0.004562	0.146373	0.894875	0.936688	0.970701	2.338324	66.310000	0.589685	
0.153507	0.007682	0.145824	0.889719	0.934719	0.971058	2.266681	66.810000	0.598962	
0.146342	0.004505	0.141838	0.888750	0.935844	0.972046	2.263647	66.990000	0.598573	
0.151061	0.004409	0.146652	0.893312	0.936594	0.971664	2.270327	67.070000	0.596159	
0.147038	0.004762	0.142276	0.891938	0.937875	0.971235	2.261865	67.180000	0.597983	
0.146133	0.004597	0.141536	0.896094	0.936125	0.971787	2.231104	67.220000	0.604122	
0.151793	0.004372	0.147421	0.891875	0.936625	0.971444	2.142990	67.830000	0.614360	
0.150647	0.004232	0.146415	0.895344	0.936906	0.971066	2.150725	67.660000	0.611383	
0.148843	0.004898	0.143945	0.893344	0.936625	0.971700	2.151348	67.580000	0.608766	
0.146217	0.004472	0.141745	0.900031	0.936719	0.970348	2.165613	68.000000	0.616472	
0.149676	0.005367	0.144309	0.891062	0.934500	0.971067	2.273379	67.030000	0.596603	
0.144600	0.004234	0.140366	0.896281	0.937656	0.969562	2.271144	67.080000	0.598086	
0.151822	0.004809	0.147013	0.899125	0.936750	0.970944	2.233326	67.110000	0.600641	
